Undergrad_Degree,Work_Experience,Employability_Before,Status,Status_enc
Computer Science,No,250.938571428571,Placed,1
Engineering,No,250.853163265306,Not Placed,0
Finance,No,250.767755102041,Placed,1
Art,No,250.682346938775,Not Placed,0
Business,No,250.59693877551,Placed,1
Computer Science,No,250.511530612245,Placed,1
Engineering,No,250.426122448979,Not Placed,0
Finance,No,250.340714285714,Placed,1
Art,No,250.255306122449,Not Placed,0
Business,Yes,250.169897959184,Placed,1
Computer Science,No,250.084489795918,Placed,1
Engineering,No,249.999081632653,Not Placed,0
Finance,No,249.913673469388,Placed,1
Art,No,249.828265306122,Not Placed,0
Business,No,249.742857142857,Placed,1
Computer Science,No,249.657448979592,Placed,1
Engineering,No,249.572040816326,Not Placed,0
Finance,No,249.486632653061,Placed,1
Art,No,249.401224489796,Not Placed,0
Business,Yes,249.31581632653,Placed,1
Computer Science,No,249.230408163265,Placed,1
Engineering,No,249.145,Not Placed,0
Finance,No,249.059591836735,Placed,1
Art,No,248.974183673469,Not Placed,0
Business,No,248.888775510204,Placed,1
Computer Science,No,248.803367346939,Placed,1
Engineering,No,248.717959183673,Not Placed,0
Finance,No,248.632551020408,Placed,1
Art,No,248.547142857143,Not Placed,0
Business,Yes,248.461734693878,Placed,1
Computer Science,No,248.376326530612,Placed,1
Engineering,No,248.290918367347,Not Placed,0
Finance,No,248.205510204081,Placed,1
Art,No,248.120102040816,Not Placed,0
Business,No,248.034693877551,Placed,1
Computer Science,No,247.949285714286,Placed,1
Engineering,No,247.86387755102,Not Placed,0
Finance,No,247.778469387755,Placed,1
Art,No,247.69306122449,Not Placed,0
Business,Yes,247.607653061224,Placed,1
Computer Science,No,247.522244897959,Placed,1
Engineering,No,247.436836734694,Not Placed,0
Finance,No,247.351428571428,Placed,1
Art,No,247.266020408163,Not Placed,0
Business,No,247.180612244898,Placed,1
Computer Science,No,247.095204081632,Placed,1
Engineering,No,247.009795918367,Not Placed,0
Finance,No,246.924387755102,Placed,1
Art,No,246.838979591837,Not Placed,0
Business,Yes,246.753571428571,Placed,1
Computer Science,No,246.668163265306,Placed,1
Engineering,No,246.582755102041,Not Placed,0
Finance,No,246.497346938775,Placed,1
Art,No,246.41193877551,Not Placed,0
Business,No,246.326530612245,Placed,1
Computer Science,No,246.241122448979,Placed,1
Engineering,No,246.155714285714,Not Placed,0
Finance,No,246.070306122449,Placed,1
Art,No,245.984897959184,Not Placed,0
Business,Yes,245.899489795918,Placed,1
Computer Science,No,245.814081632653,Placed,1
Engineering,No,245.728673469388,Not Placed,0
Finance,No,245.643265306122,Placed,1
Art,No,245.557857142857,Not Placed,0
Business,No,245.472448979592,Placed,1
Computer Science,No,245.387040816326,Placed,1
Engineering,No,245.301632653061,Not Placed,0
Finance,No,245.216224489796,Placed,1
Art,No,245.13081632653,Not Placed,0
Business,Yes,245.045408163265,Placed,1
Computer Science,No,244.96,Placed,1
Engineering,No,244.874591836735,Not Placed,0
Finance,No,244.789183673469,Placed,1
Art,No,244.703775510204,Not Placed,0
Business,No,244.618367346939,Placed,1
Computer Science,No,244.532959183673,Placed,1
Engineering,No,244.447551020408,Not Placed,0
Finance,No,244.362142857143,Placed,1
Art,No,244.276734693877,Not Placed,0
Business,Yes,244.191326530612,Placed,1
Computer Science,No,244.105918367347,Placed,1
Engineering,No,244.020510204081,Not Placed,0
Finance,No,243.935102040816,Placed,1
Art,No,243.849693877551,Not Placed,0
Business,No,243.764285714286,Placed,1
Computer Science,No,243.67887755102,Placed,1
Engineering,No,243.593469387755,Not Placed,0
Finance,No,243.50806122449,Placed,1
Art,No,243.422653061224,Not Placed,0
Business,Yes,243.337244897959,Placed,1
Computer Science,No,243.251836734694,Placed,1
Engineering,No,243.166428571428,Not Placed,0
Finance,No,243.081020408163,Placed,1
Art,No,242.995612244898,Not Placed,0
Business,No,242.910204081632,Placed,1
Computer Science,No,242.824795918367,Placed,1
Engineering,No,242.739387755102,Not Placed,0
Finance,No,242.653979591837,Placed,1
Art,No,242.568571428571,Not Placed,0
Business,Yes,242.483163265306,Placed,1
Computer Science,No,242.397755102041,Placed,1
Engineering,No,242.312346938775,Not Placed,0
Finance,No,242.22693877551,Placed,1
Art,No,242.141530612245,Not Placed,0
Business,No,242.056122448979,Placed,1
Computer Science,No,241.970714285714,Placed,1
Engineering,No,241.885306122449,Not Placed,0
Finance,No,241.799897959183,Placed,1
Art,No,241.714489795918,Not Placed,0
Business,Yes,241.629081632653,Placed,1
Computer Science,No,241.543673469388,Placed,1
Engineering,No,241.458265306122,Not Placed,0
Finance,No,241.372857142857,Placed,1
Art,No,241.287448979592,Not Placed,0
Business,No,241.202040816326,Placed,1
Computer Science,No,241.116632653061,Placed,1
Engineering,No,241.031224489796,Not Placed,0
Finance,No,240.94581632653,Placed,1
Art,No,240.860408163265,Not Placed,0
Business,Yes,240.775,Placed,1
Computer Science,No,240.689591836735,Placed,1
Engineering,No,240.604183673469,Not Placed,0
Finance,No,240.518775510204,Placed,1
Art,No,240.433367346939,Not Placed,0
Business,No,240.347959183673,Placed,1
Computer Science,No,240.262551020408,Placed,1
Engineering,No,240.177142857143,Not Placed,0
Finance,No,240.091734693877,Placed,1
Art,No,240.006326530612,Not Placed,0
Business,Yes,239.920918367347,Placed,1
Computer Science,No,239.835510204081,Placed,1
Engineering,No,239.750102040816,Not Placed,0
Finance,No,239.664693877551,Placed,1
Art,No,239.579285714286,Not Placed,0
Business,No,239.49387755102,Placed,1
Computer Science,No,239.408469387755,Placed,1
Engineering,No,239.32306122449,Not Placed,0
Finance,No,239.237653061224,Placed,1
Art,No,239.152244897959,Not Placed,0
Business,Yes,239.066836734694,Placed,1
Computer Science,No,238.981428571428,Placed,1
Engineering,No,238.896020408163,Not Placed,0
Finance,No,238.810612244898,Placed,1
Art,No,238.725204081632,Not Placed,0
Business,No,238.639795918367,Placed,1
Computer Science,No,238.554387755102,Placed,1
Engineering,No,238.468979591837,Not Placed,0
Finance,No,238.383571428571,Placed,1
Art,No,238.298163265306,Not Placed,0
Business,Yes,238.212755102041,Placed,1
Computer Science,No,238.127346938775,Placed,1
Engineering,No,238.04193877551,Not Placed,0
Finance,No,237.956530612245,Placed,1
Art,No,237.871122448979,Not Placed,0
Business,No,237.785714285714,Placed,1
Computer Science,No,237.700306122449,Placed,1
Engineering,No,237.614897959184,Not Placed,0
Finance,No,237.529489795918,Placed,1
Art,No,237.444081632653,Not Placed,0
Business,Yes,237.358673469388,Placed,1
Computer Science,No,237.273265306122,Placed,1
Engineering,No,237.187857142857,Not Placed,0
Finance,No,237.102448979592,Placed,1
Art,No,237.017040816326,Not Placed,0
Business,No,236.931632653061,Placed,1
Computer Science,No,236.846224489796,Placed,1
Engineering,No,236.76081632653,Not Placed,0
Finance,No,236.675408163265,Placed,1
Art,No,236.59,Not Placed,0
Business,Yes,236.504591836735,Placed,1
Computer Science,No,236.419183673469,Placed,1
Engineering,No,236.333775510204,Not Placed,0
Finance,No,236.248367346939,Placed,1
Art,No,236.162959183673,Not Placed,0
Business,No,236.077551020408,Placed,1
Computer Science,No,235.992142857143,Placed,1
Engineering,No,235.906734693877,Not Placed,0
Finance,No,235.821326530612,Placed,1
Art,No,235.735918367347,Not Placed,0
Business,Yes,235.650510204081,Placed,1
Computer Science,No,235.565102040816,Placed,1
Engineering,No,235.479693877551,Not Placed,0
Finance,No,235.394285714286,Placed,1
Art,No,235.30887755102,Not Placed,0
Business,No,235.223469387755,Placed,1
Computer Science,No,235.13806122449,Placed,1
Engineering,No,235.052653061224,Not Placed,0
Finance,No,234.967244897959,Placed,1
Art,No,234.881836734694,Not Placed,0
Business,Yes,234.796428571428,Placed,1
Computer Science,No,234.711020408163,Placed,1
Engineering,No,234.625612244898,Not Placed,0
Finance,No,234.540204081632,Placed,1
Art,No,234.454795918367,Not Placed,0
Business,No,234.369387755102,Placed,1
Computer Science,No,234.283979591836,Placed,1
Engineering,No,234.198571428571,Not Placed,0
Finance,No,234.113163265306,Placed,1
Art,No,234.027755102041,Not Placed,0
Business,Yes,233.942346938775,Placed,1
Computer Science,No,233.85693877551,Placed,1
Engineering,No,233.771530612245,Not Placed,0
Finance,No,233.686122448979,Placed,1
Art,No,233.600714285714,Not Placed,0
Business,No,233.515306122449,Placed,1
Computer Science,No,233.429897959184,Placed,1
Engineering,No,233.344489795918,Not Placed,0
Finance,No,233.259081632653,Placed,1
Art,No,233.173673469387,Not Placed,0
Business,Yes,233.088265306122,Placed,1
Computer Science,No,233.002857142857,Placed,1
Engineering,No,232.917448979592,Not Placed,0
Finance,No,232.832040816326,Placed,1
Art,No,232.746632653061,Not Placed,0
Business,No,232.661224489796,Placed,1
Computer Science,No,232.57581632653,Placed,1
Engineering,No,232.490408163265,Not Placed,0
Finance,No,232.405,Placed,1
Art,No,232.319591836735,Not Placed,0
Business,Yes,232.234183673469,Placed,1
Computer Science,No,232.148775510204,Placed,1
Engineering,No,232.063367346938,Not Placed,0
Finance,No,231.977959183673,Placed,1
Art,No,231.892551020408,Not Placed,0
Business,No,231.807142857143,Placed,1
Computer Science,No,231.721734693877,Placed,1
Engineering,No,231.636326530612,Not Placed,0
Finance,No,231.550918367347,Placed,1
Art,No,231.465510204081,Not Placed,0
Business,Yes,231.380102040816,Placed,1
Computer Science,No,231.294693877551,Placed,1
Engineering,No,231.209285714285,Not Placed,0
Finance,No,231.12387755102,Placed,1
Art,No,231.038469387755,Not Placed,0
Business,No,230.95306122449,Placed,1
Computer Science,No,230.867653061224,Placed,1
Engineering,No,230.782244897959,Not Placed,0
Finance,No,230.696836734694,Placed,1
Art,No,230.611428571428,Not Placed,0
Business,Yes,230.526020408163,Placed,1
Computer Science,No,230.440612244898,Placed,1
Engineering,No,230.355204081632,Not Placed,0
Finance,No,230.269795918367,Placed,1
Art,No,230.184387755102,Not Placed,0
Business,No,230.098979591836,Placed,1
Computer Science,No,230.013571428571,Placed,1
Engineering,No,229.928163265306,Not Placed,0
Finance,No,229.842755102041,Placed,1
Art,No,229.757346938775,Not Placed,0
Business,Yes,229.67193877551,Placed,1
Computer Science,No,229.586530612245,Placed,1
Engineering,No,229.501122448979,Not Placed,0
Finance,No,229.415714285714,Placed,1
Art,No,229.330306122449,Not Placed,0
Business,No,229.244897959183,Placed,1
Computer Science,No,229.159489795918,Placed,1
Engineering,No,229.074081632653,Not Placed,0
Finance,No,228.988673469387,Placed,1
Art,No,228.903265306122,Not Placed,0
Business,Yes,228.817857142857,Placed,1
Computer Science,No,228.732448979592,Placed,1
Engineering,No,228.647040816326,Not Placed,0
Finance,No,228.561632653061,Placed,1
Art,No,228.476224489796,Not Placed,0
Business,No,228.39081632653,Placed,1
Computer Science,No,228.305408163265,Placed,1
Engineering,No,228.22,Not Placed,0
Finance,No,228.134591836734,Placed,1
Art,No,228.049183673469,Not Placed,0
Business,Yes,227.963775510204,Placed,1
Computer Science,No,227.878367346938,Placed,1
Engineering,No,227.792959183673,Not Placed,0
Finance,No,227.707551020408,Placed,1
Art,No,227.622142857143,Not Placed,0
Business,No,227.536734693877,Placed,1
Computer Science,No,227.451326530612,Placed,1
Engineering,No,227.365918367347,Not Placed,0
Finance,No,227.280510204081,Placed,1
Art,No,227.195102040816,Not Placed,0
Business,Yes,227.109693877551,Placed,1
Computer Science,No,227.024285714285,Placed,1
Engineering,No,226.93887755102,Not Placed,0
Finance,No,226.853469387755,Placed,1
Art,No,226.768061224489,Not Placed,0
Business,No,226.682653061224,Placed,1
Computer Science,No,226.597244897959,Placed,1
Engineering,No,226.511836734694,Not Placed,0
Finance,No,226.426428571428,Placed,1
Art,No,226.341020408163,Not Placed,0
Business,Yes,226.255612244898,Placed,1
Computer Science,No,226.170204081632,Placed,1
Engineering,No,226.084795918367,Not Placed,0
Finance,No,225.999387755102,Placed,1
Art,No,225.913979591836,Not Placed,0
Business,No,225.828571428571,Placed,1
Computer Science,No,225.743163265306,Placed,1
Engineering,No,225.65775510204,Not Placed,0
Finance,No,225.572346938775,Placed,1
Art,No,225.48693877551,Not Placed,0
Business,Yes,225.401530612245,Placed,1
Computer Science,No,225.316122448979,Placed,1
Engineering,No,225.230714285714,Not Placed,0
Finance,No,225.145306122449,Placed,1
Art,No,225.059897959183,Not Placed,0
Business,No,224.974489795918,Placed,1
Computer Science,No,224.889081632653,Placed,1
Engineering,No,224.803673469387,Not Placed,0
Finance,No,224.718265306122,Placed,1
Art,No,224.632857142857,Not Placed,0
Business,Yes,224.547448979591,Placed,1
Computer Science,No,224.462040816326,Placed,1
Engineering,No,224.376632653061,Not Placed,0
Finance,No,224.291224489796,Placed,1
Art,No,224.20581632653,Not Placed,0
Business,No,224.120408163265,Placed,1
Computer Science,No,224.035,Placed,1
Engineering,No,223.949591836734,Not Placed,0
Finance,No,223.864183673469,Placed,1
Art,No,223.778775510204,Not Placed,0
Business,Yes,223.693367346938,Placed,1
Computer Science,No,223.607959183673,Placed,1
Engineering,No,223.522551020408,Not Placed,0
Finance,No,223.437142857143,Placed,1
Art,No,223.351734693877,Not Placed,0
Business,No,223.266326530612,Placed,1
Computer Science,No,223.180918367347,Placed,1
Engineering,No,223.095510204081,Not Placed,0
Finance,No,223.010102040816,Placed,1
Art,No,222.924693877551,Not Placed,0
Business,Yes,222.839285714285,Placed,1
Computer Science,No,222.75387755102,Placed,1
Engineering,No,222.668469387755,Not Placed,0
Finance,No,222.583061224489,Placed,1
Art,No,222.497653061224,Not Placed,0
Business,No,222.412244897959,Placed,1
Computer Science,No,222.326836734694,Placed,1
Engineering,No,222.241428571428,Not Placed,0
Finance,No,222.156020408163,Placed,1
Art,No,222.070612244898,Not Placed,0
Business,Yes,221.985204081632,Placed,1
Computer Science,No,221.899795918367,Placed,1
Engineering,No,221.814387755102,Not Placed,0
Finance,No,221.728979591836,Placed,1
Art,No,221.643571428571,Not Placed,0
Business,No,221.558163265306,Placed,1
Computer Science,No,221.47275510204,Placed,1
Engineering,No,221.387346938775,Not Placed,0
Finance,No,221.30193877551,Placed,1
Art,No,221.216530612245,Not Placed,0
Business,Yes,221.131122448979,Placed,1
Computer Science,No,221.045714285714,Placed,1
Engineering,No,220.960306122449,Not Placed,0
Finance,No,220.874897959183,Placed,1
Art,No,220.789489795918,Not Placed,0
Business,No,220.704081632653,Placed,1
Computer Science,No,220.618673469387,Placed,1
Engineering,No,220.533265306122,Not Placed,0
Finance,No,220.447857142857,Placed,1
Art,No,220.362448979592,Not Placed,0
Business,Yes,220.277040816326,Placed,1
Computer Science,No,220.191632653061,Placed,1
Engineering,No,220.106224489796,Not Placed,0
Finance,No,220.02081632653,Placed,1
Art,No,219.935408163265,Not Placed,0
Business,No,219.85,Placed,1
Computer Science,No,219.764591836734,Placed,1
Engineering,No,219.679183673469,Not Placed,0
Finance,No,219.593775510204,Placed,1
Art,No,219.508367346938,Not Placed,0
Business,Yes,219.422959183673,Placed,1
Computer Science,No,219.337551020408,Placed,1
Engineering,No,219.252142857143,Not Placed,0
Finance,No,219.166734693877,Placed,1
Art,No,219.081326530612,Not Placed,0
Business,No,218.995918367347,Placed,1
Computer Science,No,218.910510204081,Placed,1
Engineering,No,218.825102040816,Not Placed,0
Finance,No,218.739693877551,Placed,1
Art,No,218.654285714285,Not Placed,0
Business,Yes,218.56887755102,Placed,1
Computer Science,No,218.483469387755,Placed,1
Engineering,No,218.398061224489,Not Placed,0
Finance,No,218.312653061224,Placed,1
Art,No,218.227244897959,Not Placed,0
Business,No,218.141836734693,Placed,1
Computer Science,No,218.056428571428,Placed,1
Engineering,No,217.971020408163,Not Placed,0
Finance,No,217.885612244898,Placed,1
Art,No,217.800204081632,Not Placed,0
Business,Yes,217.714795918367,Placed,1
Computer Science,No,217.629387755102,Placed,1
Engineering,No,217.543979591836,Not Placed,0
Finance,No,217.458571428571,Placed,1
Art,No,217.373163265306,Not Placed,0
Business,No,217.28775510204,Placed,1
Computer Science,No,217.202346938775,Placed,1
Engineering,No,217.11693877551,Not Placed,0
Finance,No,217.031530612245,Placed,1
Art,No,216.946122448979,Not Placed,0
Business,Yes,216.860714285714,Placed,1
Computer Science,No,216.775306122449,Placed,1
Engineering,No,216.689897959183,Not Placed,0
Finance,No,216.604489795918,Placed,1
Art,No,216.519081632653,Not Placed,0
Business,No,216.433673469387,Placed,1
Computer Science,No,216.348265306122,Placed,1
Engineering,No,216.262857142857,Not Placed,0
Finance,No,216.177448979592,Placed,1
Art,No,216.092040816326,Not Placed,0
Business,Yes,216.006632653061,Placed,1
Computer Science,No,215.921224489796,Placed,1
Engineering,No,215.83581632653,Not Placed,0
Finance,No,215.750408163265,Placed,1
Art,No,215.665,Not Placed,0
Business,No,215.579591836734,Placed,1
Computer Science,No,215.494183673469,Placed,1
Engineering,No,215.408775510204,Not Placed,0
Finance,No,215.323367346938,Placed,1
Art,No,215.237959183673,Not Placed,0
Business,Yes,215.152551020408,Placed,1
Computer Science,No,215.067142857142,Placed,1
Engineering,No,214.981734693877,Not Placed,0
Finance,No,214.896326530612,Placed,1
Art,No,214.810918367347,Not Placed,0
Business,No,214.725510204081,Placed,1
Computer Science,No,214.640102040816,Placed,1
Engineering,No,214.554693877551,Not Placed,0
Finance,No,214.469285714285,Placed,1
Art,No,214.38387755102,Not Placed,0
Business,Yes,214.298469387755,Placed,1
Computer Science,No,214.213061224489,Placed,1
Engineering,No,214.127653061224,Not Placed,0
Finance,No,214.042244897959,Placed,1
Art,No,213.956836734693,Not Placed,0
Business,No,213.871428571428,Placed,1
Computer Science,No,213.786020408163,Placed,1
Engineering,No,213.700612244898,Not Placed,0
Finance,No,213.615204081632,Placed,1
Art,No,213.529795918367,Not Placed,0
Business,Yes,213.444387755102,Placed,1
Computer Science,No,213.358979591836,Placed,1
Engineering,No,213.273571428571,Not Placed,0
Finance,No,213.188163265306,Placed,1
Art,No,213.10275510204,Not Placed,0
Business,No,213.017346938775,Placed,1
Computer Science,No,212.93193877551,Placed,1
Engineering,No,212.846530612244,Not Placed,0
Finance,No,212.761122448979,Placed,1
Art,No,212.675714285714,Not Placed,0
Business,Yes,212.590306122449,Placed,1
Computer Science,No,212.504897959183,Placed,1
Engineering,No,212.419489795918,Not Placed,0
Finance,No,212.334081632653,Placed,1
Art,No,212.248673469387,Not Placed,0
Business,No,212.163265306122,Placed,1
Computer Science,No,212.077857142857,Placed,1
Engineering,No,211.992448979591,Not Placed,0
Finance,No,211.907040816326,Placed,1
Art,No,211.821632653061,Not Placed,0
Business,Yes,211.736224489795,Placed,1
Computer Science,No,211.65081632653,Placed,1
Engineering,No,211.565408163265,Not Placed,0
Finance,No,211.48,Placed,1
Art,No,211.394591836734,Not Placed,0
Business,No,211.309183673469,Placed,1
Computer Science,No,211.223775510204,Placed,1
Engineering,No,211.138367346938,Not Placed,0
Finance,No,211.052959183673,Placed,1
Art,No,210.967551020408,Not Placed,0
Business,Yes,210.882142857142,Placed,1
Computer Science,No,210.796734693877,Placed,1
Engineering,No,210.711326530612,Not Placed,0
Finance,No,210.625918367346,Placed,1
Art,No,210.540510204081,Not Placed,0
Business,No,210.455102040816,Placed,1
Computer Science,No,210.369693877551,Placed,1
Engineering,No,210.284285714285,Not Placed,0
Finance,No,210.19887755102,Placed,1
Art,No,210.113469387755,Not Placed,0
Business,Yes,210.028061224489,Placed,1
Computer Science,No,209.942653061224,Placed,1
Engineering,No,209.857244897959,Not Placed,0
Finance,No,209.771836734693,Placed,1
Art,No,209.686428571428,Not Placed,0
Business,No,209.601020408163,Placed,1
Computer Science,No,209.515612244898,Placed,1
Engineering,No,209.430204081632,Not Placed,0
